"longitude","latitude"
191.6071,76.2039
191.7406,75.9847
191.8699,75.7655
191.9953,75.5464
192.1169,75.3273
192.2348,75.1083
192.3493,74.8893
192.4606,74.6703
192.5686,74.4514
192.6736,74.2326
192.7757,74.0138
192.875,73.7951
192.9716,73.5765
193.0657,73.3579
193.1572,73.1395
193.2464,72.9211
193.3333,72.7028
193.4181,72.4846
193.5007,72.2664
193.5812,72.0484
193.6598,71.8305
193.7365,71.6126
193.8114,71.3949
193.8845,71.1773
193.9559,70.9598
194.0257,70.7424
194.0939,70.5251
194.1605,70.3079
194.2257,70.0908
194.2894,69.8739
194.3518,69.657
194.4128,69.4404
194.4725,69.2238
194.5309,69.0073
194.5881,68.791
194.7529,68.1429
194.8056,67.9271
194.8572,67.7115
194.9079,67.496
194.9575,67.2806
195.0063,67.0654
195.054,66.8504
195.1009,66.6355
195.1469,66.4207
195.5251,64.4951
195.5635,64.282
195.6013,64.069
